,title,year,counts,longitude,latitude,distance,dist_arange,year_arange
4386,커피콘하스,201703,2,126.91429679972427,37.55637949991764,1.0831136602112612,1500m,2017
4387,커피콘하스,201704,3,126.91429679972427,37.55637949991764,1.0831136602112612,1500m,2017
4388,커피프린스,201301,1,126.92471329972427,37.55785649991765,0.6960048913662653,1000m,2013
4389,커피프린스 홍대점,201402,1,126.92473409972428,37.557885199917656,0.6991298828587541,1000m,2014
4390,커피프린스 홍대점,201403,8,126.92473409972428,37.557885199917656,0.6991298828587541,1000m,2014
4391,커피프린스 홍대점,201404,3,126.92473409972428,37.557885199917656,0.6991298828587541,1000m,2014
4392,커피프린스 홍대점,201503,2,126.92473409972428,37.557885199917656,0.6991298828587541,1000m,2015
4393,커피프린스1호점,201304,1,126.92926109972427,37.554545099917654,0.5010140723638083,1000m,2013
4394,커피프린스1호점,201403,1,126.92926109972427,37.554545099917654,0.5010140723638083,1000m,2014
4395,커피프린스1호점,201502,1,126.92926109972427,37.554545099917654,0.5010140723638083,1000m,2015
4396,커피프린스1호점,201602,1,126.92926109972427,37.554545099917654,0.5010140723638083,1000m,2016
4397,커피플라넷,201501,1,126.92475598937008,37.5566099241066,0.5576016003374503,1000m,2015
4398,커피플라넷,201603,1,126.92475598937008,37.5566099241066,0.5576016003374503,1000m,2016
4399,커피플라넷베이커리,201603,1,126.92516399972428,37.55645419991765,0.5402345396325662,1000m,2016
4400,커피플라워,201703,1,126.9242334,37.5550713,0.3920243224425204,500m,2017
4401,커피피엠2시45,201401,1,129.0296999997515,35.09919169992019,331.2935086074803,na,2014
4402,커피홀,201703,1,126.92505449999999,37.5573318,0.637419988229394,1000m,2017
4403,커피홀 홍대역점,201703,1,126.9252094,37.5573331,0.6378600216472369,1000m,2017
4404,커핀그루나루 홍대UCC점,201802,1,126.923032,37.551032,0.18256667279857242,500m,2018
4405,컨토이너,201602,3,126.92124989972427,37.548328599917674,0.48924449794435326,500m,2016
