,title,longitude,latitude
0,코만스,126.9229885,37.555032
1,대충유원지,126.9203925,37.5587875
2,몰테일어반,126.9279466,37.5557021
3,Cafe de ONE PIECE,126.9248749,37.5533539
4,1984,126.9228359,37.5573654
5,몬스터케이브,126.9279255,37.5571752
6,모리츠플라츠,126.9313658,37.5560559
7,카페이미,126.9219524,37.557494
8,노랑콩,126.9270755,37.557741
9,1984,126.9228359,37.5573654
10,카페 로컬,126.92638869565437,37.55600818522553
11,테일러커피서교3호점,126.929978,37.5551661
12,아도베라 로쉐,126.9263704,37.5560544
13,C27 홍대점,126.92333,37.5569369
14,좀비커피로스터스,126.9228183,37.5514964
15,레미니스,126.92304599972427,37.55449439991765
16,1984,126.92275817832225,37.557166723824984
17,사운드카페 소리,126.930265,37.5552299
18,몬스터케이브,126.92778964100411,37.557174541556456
19,레미니스,126.923046,37.5544944
20,테일러커피 서교 1호점,126.9282066,37.5560911
21,몹시 2호점,126.9277232,37.5562494
22,디저트연구소,126.9261833,37.5554115
23,ENCORE COFFEE,126.9201075,37.5533974
24,아르데슈아,126.9191895,37.5544252
25,테일러커피 서교 2호점,126.9276082,37.5538722
26,피오니,126.9212451,37.5499447
27,서교로터리 커피바,126.91756509051396,37.55355407588286
28,서교로터리 커피바,126.9171958,37.5544536
29,트웬티포세븐플러스,126.9240488,37.5509889
30,디저트연구소,126.9261833,37.5554115
31,허밍벨라,126.9199947,37.550329
32,민트판다,126.92051649972427,37.557216299917634
33,느루,126.9291836,37.5546209
34,시간의 공기,126.9188252,37.5477191
35,디저트 머라이언,126.92464099972429,37.55553399991765
36,테일러커피 서교 1호점,126.9282066,37.5560911
37,C27 홍대점,126.92333,37.5569369
38,미니골드 홍대점,126.9234435,37.5556352
39,드롭탑 홍대점,126.920554,37.549319
40,디저트연구소,126.9261833,37.5554115
41,BEAMBALM,126.92276709972428,37.54641489991768
42,서울페이스트리,126.9264029,37.5554482
43,콜린,126.9204345,37.549231
44,카페이미,126.9219524,37.557494
45,디저트연구소,126.9261833,37.5554115
46,토라비,126.9255502,37.5554693
47,아지트,126.923738,37.5528846
48,아도베라 로쉐,126.9263704,37.5560544
49,Coalmine,126.9187268,37.5520695
50,콘하스,126.9301162,37.5555363
51,느루,126.9291836,37.5546209
52,Coalmine,126.9187268,37.5520695
53,프레드앤샐리,126.9169722,37.5568532
54,와디,126.9209832,37.5483586
55,그녀의커피잔,126.9209212,37.5518784
56,클링크,126.9282471,37.554887
57,C27 홍대점,126.92333,37.5569369
58,리얼이스케이프첼린지,126.927086,37.5541346
59,카페제인,126.922325,37.5519167
60,1984,126.9228359,37.5573654
61,코발트무드,126.9256778,37.5610608
62,홍대반지카페,126.921282,37.5521097
63,랑데자뷰,126.927086,37.5541346
64,카페모노블럭,126.9244695,37.5537278
65,레미니스,126.923046,37.5544944
66,랑데자뷰,126.927086,37.5541346
67,랑데자뷰,126.927086,37.5541346
68,어글리스토브 홍대점,126.9225853,37.5541328
69,카페부라노,126.9207784,37.5568249
70,aA 디자인 뮤지엄,126.91919212439117,37.548997669311774
71,라쿤카페 맹쿤,126.9227809,37.5538487
72,Coalmine,126.9187268,37.5520695
73,쏭카페,126.9224123,37.5501028
74,데코아 발림,126.9217768,37.5484415
75,조민아아뜰리에,126.9287728,37.5576966
76,Coalmine,126.9187268,37.5520695
77,모리츠플라츠,126.9313658,37.5560559
78,콘하스,126.9301162,37.5555363
79,카페유올,126.921191,37.5485434
80,카페부라노,126.9207784,37.5568249
81,디저트연구소,126.9261833,37.5554115
82,쏭카페,126.9224123,37.5501028
83,몰테일어반,126.9279466,37.5557021
84,아르데슈아,126.9191895,37.5544252
85,코칭심리카페,126.92345109972426,37.55504179991765
86,C27 홍대점,126.92333,37.5569369
87,스타벅스 홍대입구역사거리점,126.92036,37.554636
88,카페데코믹스 홍대점,126.9222781,37.5535254
89,사르르,126.9245858,37.5613013
90,Undercrema,126.9256978,37.5555641
91,테일러커피 서교 3호점,126.929978,37.5551661
92,포비베이직,126.9110635,37.55187
93,르쁘띠푸,126.923232,37.549942
94,몬스터케이브,126.9279255,37.5571752
95,카페데코믹스 홍대점,126.9222781,37.5535254
96,서울페이스트리,126.9264029,37.5554482
97,톤앤매너,126.92868669972428,37.554271799917665
98,미스터리룸 이스케이프 홍대점,126.9222889,37.5504643
99,카페제인,126.922325,37.5519167
100,카페제인,126.922325,37.5519167
101,피오니,126.9212451,37.5499447
102,레미니스,126.923046,37.5544944
103,피오니,126.9212451,37.5499447
104,홍대반지카페,126.921282,37.5521097
105,카페모노블럭,126.9244695,37.5537278
106,비 스위트 온,126.9268136,37.5543056
107,카페데코믹스 홍대점,126.9222781,37.5535254
108,클럽보다만화,126.9202185,37.5507449
109,도토리숲 홍대점,126.9255963,37.5531347
110,달의계단,126.9248497,37.5556197
111,테일러커피 서교 3호점,126.929978,37.5551661
112,콜린,126.91964319389629,37.54908289764372
113,앤하우스 홍대점,126.9214561,37.5524163
114,디저트 머라이언,126.924641,37.555534
115,트웬티포세븐플러스,126.9240488,37.5509889
116,카카오프렌즈 홍대 플래그십 스토어,126.9238751,37.5564278
117,악동애니멀힐링카페,126.9238908,37.5529455
118,칼디커피서덕식,126.927252,37.555954
119,세인트아이브스,126.9181794,37.5490985
120,레드빅,126.92188547930165,37.55475078896142
121,위스테리아,126.9206774,37.5506677
122,청춘고양이카페 홍대점,126.92466727349195,37.5534218100382
123,러빈허 플라워카페,126.9298061,37.5564247
124,커피랩,126.9292633,37.5549702
125,폴인 팬케이크,126.9247837,37.5537052
126,카페 오메리,126.9210139,37.5485518
127,어반플랜트,126.9171877,37.5478939
128,세인트아이브스,126.9181794,37.5490985
129,모리츠플라츠,126.9313658,37.5560559
130,느루,126.9291836,37.5546209
131,카페제인,126.922325,37.5519167
132,오프투,126.9251536,37.5538656
133,원바잇,126.921474,37.5580571
134,허밍벨라,126.9199947,37.550329
135,원바잇,126.921474,37.5580571
136,모리츠플라츠,126.9313658,37.5560559
137,카페모노블럭,126.9244695,37.5537278
138,공사,126.9225562,37.5580774
139,오늘도 고양이,126.92717619972429,37.55395569991765
140,캉골 홍대직영점,126.9194044,37.5490608
141,스타일난다 핑크풀카페,126.92750449972428,37.55460279991766
142,피오니,126.9212451,37.5499447
143,대충유원지,126.9203925,37.5587875
144,5Brewing,126.9203972,37.5503104
145,샵브이알 1호점,126.92215,37.5528591
146,분짜라임 합정점,126.9178044,37.5501334
147,임블리플래그쉽스토어 홍대점,126.92119,37.548527
148,I am autumn,126.9200424,37.5661657
149,카페자우랩,126.9207599,37.5527806
150,셜록홈즈 홍대점,126.9264215,37.5545298
151,1984,126.9228359,37.5573654
152,어반플랜트,126.9171877,37.5478939
153,스타일난다 핑크풀카페,126.9853079,37.5619868
154,카페제인,126.922325,37.5519167
155,위스테리아,126.92092324431025,37.55108352547421
156,벌툰 홍대본점,126.9201007,37.5506015
157,카페 본주르,126.9246805,37.559308
158,테일러커피 서교 1호점,126.9282066,37.5560911
159,큐브이스케이프 홍대점,126.9206,37.55329
160,쭈꾸미손사장,126.9262628,37.5568487
161,카페더브릿지,126.9184358,37.5499165
162,커피짱,126.9245036,37.5587535
163,모리츠플라츠,126.9313658,37.5560559
164,aA 디자인 뮤지엄,126.92124809972428,37.54956659991766
165,카페제인,126.922325,37.5519167
166,더페이머스램,126.9197488,37.5564159
167,카페서교,126.9273551,37.5543113
168,레드빅,126.9194376,37.5521429
169,소프트랩,126.924577,37.56024
170,연남살롱,126.92147380938717,37.5617594794615
171,샵브이알 1호점,126.92215,37.5528591
172,테일러커피 서교 1호점,126.9282066,37.5560911
173,테일러커피 서교 3호점,126.9299337,37.5551139
174,홍대반지카페,126.921282,37.5521097
175,온클라우드나인,126.9293038,37.555105
176,아이엘유,126.9179809,37.5500846
177,테일러커피 서교 3호점,126.929978,37.5551661
178,호호미욜,126.9232213,37.5488279
179,땡스북스,126.9202248,37.5511689
180,아날로그가든,126.9180542,37.5554609
181,카페제인,126.922325,37.5519167
182,어반플랜트,126.9171877,37.5478939
183,랑데자뷰,126.927086,37.5541346
184,클라르테 커피,126.9264517,37.5614787
185,스타일난다 핑크풀카페,126.9275045,37.5546028
186,코코무드,126.922716,37.5641457
187,텐트서울,126.9206924,37.5496838
188,몰테일어반,126.9279465997243,37.55570209991765
189,클럽보다만화,126.9202185,37.5507449
190,엑스이스케이프 홍대놀이터점,126.92281406945469,37.55280738441431
191,브레이크아웃이스케이프,126.9248595,37.5529297
192,루미룸카페,126.9215546,37.5515701
193,카페제인,126.922325,37.5519167
194,빵공장띠에리,126.9205272,37.5497355
195,르쁘띠푸,126.923232,37.549942
196,ENCORE COFFEE,126.9201075,37.5533974
197,비따비,126.92517659972428,37.553698099917646
198,카페 낭만적,126.9298425,37.5566085
199,카페데코믹스 홍대점,126.9222781,37.5535254
200,샵브이알 1호점,126.92215,37.5528591
201,홍대반지카페,126.921282,37.5521097
202,247,126.9218146,37.5571001
203,백년커피,126.9233145,37.5590058
204,1984,126.9228359,37.5573654
205,카카오프렌즈 홍대 플래그십 스토어,126.9238751,37.5564278
206,라쿤카페 맹쿤 2호점,126.922311,37.5505109
207,카페제인,126.922325,37.5519167
208,르쁘띠푸,126.923232,37.549942
209,라쿤카페 맹쿤 2호점,126.922311,37.5505109
210,샵브이알 1호점,126.92215,37.5528591
211,카페목수의딸,126.9308915,37.5555771
212,더페이머스램,126.9197488,37.5564159
213,심신프리,126.922447,37.5536831
214,몰테일어반,126.9279466,37.5557021
215,Side Table,126.924876,37.5632217
216,아날로그가든,126.9180542,37.5554609
217,클럽보다만화,126.9202185,37.5507449
218,커피랩,126.9292633,37.5549702
219,W카페,126.9216601,37.5578981
220,몰테일어반,126.9279466,37.5557021
221,테일러커피서교3호점,126.929978,37.5551661
222,카페부라노,126.9207784,37.5568249
223,C27 홍대점,126.92333,37.5569369
224,플스방 챔스,126.9224934,37.5511258
225,레미니스,126.923046,37.5544944
