,title,longitude,latitude
0,위드커피,126.92530899469415,37.555204957389876
1,델문도,126.92083859972428,37.55050029991766
2,멜로우,126.91988268605495,37.55223640361615
3,비행기카페,126.91974099972427,37.54960499991766
4,판다 쿠킹클래스,126.9186450678633,37.556680848634436
5,카페피오니,126.92076859972427,37.54980999991766
6,405키친,126.92124469927428,37.55017625458258
7,카페소스,126.9248007,37.5532601
8,cafe 몽소,126.91975099972429,37.54964709991765
9,카페 스케치북,126.91883219972426,37.55495039991766
10,앤트러사이트 커피로스터,126.91989501651702,37.54704271493369
11,유진,126.9259578,37.5551756
12,패턴,126.91714259972429,37.54936469991766
13,쿡앤북,126.92583352040722,37.5565479193617
14,에또네,126.9269009997243,37.554472499917665
15,카페소스,126.92480069972429,37.55326009991765
16,비 스위트 온,126.92675356164273,37.55429622618031
17,더스토리,126.9278680210506,37.56160424583684
18,북카페정글,126.91860359972426,37.55497019991764
19,마카롱,126.92575199972427,37.553419999917665
20,CAFE 정민언니,126.92421100647043,37.554414521864
21,나의작은카페,126.92575523836054,37.55589749861816
22,커피와사람들,126.91998409537658,37.553562035567225
23,BLANC,126.92636825318219,37.557912661878525
24,델문도,126.92083859972428,37.55050029991766
25,비안 홍대점,126.92369396198075,37.555091469860805
26,제너럴닥터,126.9232224,37.5519135
27,카페디에어,126.91828249972427,37.552880199917645
28,B.,126.91921969972428,37.54881969991766
29,생선캠프,126.92607739972428,37.559576299917644
30,닐스야드,126.92347280731232,37.55591604914587
31,CAFE 정민언니,126.92472672086407,37.55507501866225
32,더페이머스램,126.9226223215678,37.55703811930968
33,NONAME 카페,126.92780999972427,37.55398229991765
34,NONAME,126.92780999972427,37.55398229991765
35,커피프린스1호점,126.92926109972429,37.554545099917654
36,조이스카페,126.92558281165556,37.55418856063853
37,카페더브릿지,126.9249657386173,37.5560856674274
38,이미,126.92301269432939,37.55682429010555
39,달의계단,126.9247063723225,37.555456985810466
40,Placebo,126.92630384625026,37.55506921005001
41,몹시,126.9265446529065,37.5545736007703
42,스노브,126.9228359,37.5497323
43,카페오가닉,126.92693786569716,37.555075853137645
44,카페소스,126.92480069972429,37.55326009991765
45,데일리선데이,126.91951389972427,37.54869499991766
46,카페꼼마2페이지,126.92532758064043,37.55794003664224
